19991117 00:00,1477500,1483900,1450000,1456900,12567600
19991118 00:00,1467500,1500000,1423800,1498100,8782900
19991119 00:00,1495600,1518100,1403100,1511300,8673300
19991122 00:00,1518800,1528800,1502500,1522500,9348100
19991123 00:00,1528800,1530000,1485000,1498100,11988200
19991124 00:00,1503800,1551300,1488100,1548800,9162800
19991126 00:00,1568100,1575600,1547500,1553800,4086900
19991129 00:00,1550600,1563800,1530000,1531400,9801500
19991130 00:00,1531300,1533800,1480000,1483800,11648800
19991201 00:00,1486300,1509400,1475000,1496300,11521200
19991202 00:00,1507500,1552500,1506600,1551300,8178900
19991203 00:00,1586300,1603800,1576300,1585000,10523700
19991206 00:00,1588600,1610000,1573800,1595600,8245400
19991207 00:00,1601900,1614400,1546900,1603000,11465100
19991208 00:00,1597300,1609800,1577500,1580000,9651100
19991209 00:00,1600000,1608800,1545000,1580000,14046400
19991210 00:00,1598100,1603800,1562500,1596400,9910300
19991213 00:00,1592700,1626700,1585600,1620000,7949800
19991214 00:00,1615000,1624400,1580000,1581300,13754100
19991215 00:00,1572500,1618800,1558800,1618600,15983600
19991216 00:00,1642500,1665000,1630000,1663100,13345400
19991217 00:00,1690000,1697500,1668600,1677500,11985300
19991220 00:00,1688100,1705000,1673800,1693100,7663000
19991221 00:00,1702500,1765000,1692800,1760000,13193900
19991222 00:00,1783800,1786300,1748800,1780000,11021900
19991223 00:00,1797300,1815000,1780000,1790000,8666100
19991227 00:00,1806300,1871400,1758100,1797500,9306000
19991228 00:00,1795000,1810000,1771300,1787500,7502000
19991229 00:00,1800000,1840000,1797500,1840000,8094300
19991230 00:00,1872500,1878800,1837500,1841900,10786900
19991231 00:00,1852500,1863800,1827500,1841900,7459900
20000103 00:00,1923800,1923800,1800000,1895000,18066500
20000104 00:00,1840000,1987500,1770000,1776300,16670600
20000105 00:00,1750000,1800600,1685000,1748800,20743200
20000106 00:00,1737500,1760000,1660000,1671300,17081700
20000107 00:00,1658800,1768800,1407200,1768800,13512600
20000110 00:00,1820000,1878800,1798800,1849400,15021600
20000111 00:00,1835000,1857500,1752500,1765600,15716800
20000112 00:00,1780000,1784800,1719400,1738800,14226600
20000113 00:00,1770000,1806300,1741600,1802500,12478700
20000114 00:00,1860000,1872500,1840000,1850000,10868800
20000118 00:00,1841300,1888800,1828800,1877500,8253500
20000119 00:00,1869800,1902500,1847500,1895000,9183000
20000120 00:00,1910000,1937500,1880200,1916100,13148800
20000121 00:00,1930000,1931300,1900000,1921300,9353200
20000124 00:00,1948800,1952500,1827500,1831300,13799400
20000125 00:00,1837500,1877500,1788100,1872500,16310600
20000126 00:00,1865000,1866300,1805000,1809800,11354400
20000127 00:00,1835000,1975000,1752500,1799400,15128800
20000128 00:00,1800000,1809400,1662500,1722500,17975900
20000131 00:00,1717500,1782500,1670000,1780000,18619500
20000201 00:00,1790600,1850000,1768800,1843100,13023900
20000202 00:00,1845000,1894400,1840800,1858800,13146500
20000203 00:00,1886300,1928800,1845600,1922500,14924200
20000204 00:00,1940000,1965000,1924400,1935000,13038900
20000207 00:00,1945000,1965000,1925000,1965000,8646300
20000208 00:00,1987500,2028100,1987500,2028100,10733000
20000209 00:00,2041300,2043900,1987500,1987500,13380600
20000210 00:00,1996300,2043100,1971100,2040600,13353800
20000211 00:00,2041300,2041300,1960000,1984400,12099500
20000214 00:00,1999800,2000000,1955000,1990000,11324600
20000215 00:00,1978800,2012500,1917500,1996900,15458400
20000216 00:00,1998100,2035000,1898100,1995200,13354700
